flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,session_id,Label,Label_Name
3.085411,126.7254184288576,1.2964237179422773,0.972317788456708,0.3241059294855693,3,1,225,166,75,75,75.0,0.0,166,166,166.0,0.0,166,75,97.75,39.40415587219196,1552.6875,60,20,3,1.0284703333333334,3.034657,0.0,1.418739510566177,3.034657,3.034657,0.0,1.5173285,1.5173285,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3333333333333333,97.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,166.0,3,1,225,166,Bittorent_4G_Nightime1,0,Bittorent
2.012964,111.77547139442134,1.4903396185922846,1.4903396185922846,0.0,3,0,225,0,75,75,75.0,0.0,0,0,0.0,0.0,75,75,75.0,0.0,0.0,60,0,3,1.006482,2.012964,0.0,1.006482,2.012964,2.012964,0.0,1.006482,1.006482,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,3,0,225,0,Bittorent_4G_Nightime1,0,Bittorent
0.0,0.0,0.0,0.0,0.0,2,0,306,0,153,153,153.0,0.0,0,0,0.0,0.0,153,153,153.0,0.0,0.0,40,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,153.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,2,0,306,0,Bittorent_4G_Nightime1,0,Bittorent
0.276742,3013.6372505799627,10.840421764676124,7.226947843117417,3.613473921558709,2,1,306,528,153,153,153.0,0.0,528,528,528.0,0.0,528,153,278.0,176.7766952966369,31250.0,40,20,2,0.138371,0.276742,0.0,0.138371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,278.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,528.0,2,1,306,528,Bittorent_4G_Nightime1,0,Bittorent
0.0,0.0,0.0,0.0,0.0,2,0,292,0,146,146,146.0,0.0,0,0,0.0,0.0,146,146,146.0,0.0,0.0,40,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,146.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,2,0,292,0,Bittorent_4G_Nightime1,0,Bittorent
0.514781,1260.730291133511,5.827720914330559,3.885147276220373,1.9425736381101864,2,1,292,357,146,146,146.0,0.0,357,357,357.0,0.0,357,146,216.3333333333333,99.46635388690768,9893.555555555557,40,20,2,0.2573905,0.514781,0.0,0.2573905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,216.3333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,357.0,2,1,292,357,Bittorent_4G_Nightime1,0,Bittorent
19.344154,59.035923721450935,0.2584760232988219,0.1550856139792931,0.1033904093195287,3,2,438,704,146,146,146.0,0.0,352,352,352.0,0.0,352,146,228.4,100.91897740266694,10184.64,60,40,3,4.8360385,18.375636,0.0,7.819615215877969,18.888091,18.888091,0.0,9.4440455,9.4440455,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.6666666666666666,228.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,352.0,3,2,438,704,Bittorent_4G_Nightime1,0,Bittorent
0.511672,1258.6188026704608,5.863131068340656,3.908754045560437,1.9543770227802184,2,1,292,352,146,146,146.0,0.0,352,352,352.0,0.0,352,146,214.66666666666663,97.10933128295252,9430.22222222222,40,20,2,0.255836,0.511672,0.0,0.255836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,214.66666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,352.0,2,1,292,352,Bittorent_4G_Nightime1,0,Bittorent
0.38186,1639.344262295082,7.85628240716493,5.23752160477662,2.61876080238831,2,1,292,334,146,146,146.0,0.0,334,334,334.0,0.0,334,146,208.66666666666663,88.62404990871396,7854.222222222223,40,20,2,0.19093,0.38186,0.0,0.19093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,208.66666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,334.0,2,1,292,334,Bittorent_4G_Nightime1,0,Bittorent
14.522334,78.63749725078627,0.3442972734272603,0.2065783640563562,0.1377189093709041,3,2,438,704,146,146,146.0,0.0,352,352,352.0,0.0,352,146,228.4,100.91897740266694,10184.64,60,40,3,3.6305835,14.212936,0.0,6.110051893280183,14.361742,14.361742,0.0,7.180871,7.180871,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.6666666666666666,228.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,352.0,3,2,438,704,Bittorent_4G_Nightime1,0,Bittorent
