bwd_seg_size_avg,pkt_len_min,fwd_pkt_len_min,totlen_bwd_pkts,fwd_pkt_len_max,bwd_pkt_len_min,pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_std,flow_byts_s,fwd_pkt_len_mean,psh_flag_cnt,down_up_ratio,fwd_act_data_pkts,syn_flag_cnt,fin_flag_cnt,Label
521.4,54,54,7821,1772,60,429.5357142857143,487.6606031917336,586.3558419026226,5274.312951339233,323.53846153846155,11,1.1538461538461535,5,3,0,4
68.33333333333333,54,54,205,54,60,61.16666666666666,0.0,11.785113019775793,22211.46280941718,54.0,1,1.0,0,0,3,9
638.0,88,88,638,88,638,271.3333333333333,0.0,0.0,4428.582309609044,88.0,0,0.5,2,0,0,8
0.0,66,66,0,66,0,66.0,0.0,0.0,87.38637288956944,66.0,0,0.0,0,4,0,0
54.0,54,114,19710,1514,54,1038.7187688593845,202.61917412988447,0.0,2097432.1290954687,1316.909442724458,776,0.2825077399380805,1292,0,0,6
551.0,66,71,6612,1292,66,415.2173913043478,351.3357509809604,536.6587991141733,4565.583531772875,267.09090909090907,0,1.0909090909090908,11,0,0,1
161.0,79,79,161,79,161,106.33333333333331,0.0,0.0,12067.33497257424,79.0,0,0.5,2,0,0,5
650.0,76,76,650,76,650,267.3333333333333,0.0,0.0,1560.6088320341232,76.0,0,0.5,2,0,0,8
60.0,54,54,120,54,60,56.4,0.0,0.0,1360.7346036739834,54.0,0,0.6666666666666666,0,0,3,5
60.0,60,66,180,66,60,62.4,0.0,0.0,15.70455543348172,66.0,0,1.5,0,5,0,9
662.0,80,80,662,80,662,274.0,0.0,0.0,7011.916846514087,80.0,0,0.5,2,0,0,4
1038.0833333333333,67,75,12457,1292,67,906.5652173913044,580.9461647011638,432.49960661510687,142242.2026359593,763.0909090909091,0,1.0909090909090908,11,0,0,1
394.6666666666667,54,54,8288,1891,60,333.7105263157895,451.3054344407004,536.0440043533503,138.25493575626425,258.4117647058824,15,1.2352941176470589,9,3,0,4
0.0,66,66,0,66,0,66.0,0.0,0.0,87.81365941472197,66.0,0,0.0,0,4,0,0
984.0,54,54,20664,349,60,728.7666666666667,116.82444357789149,535.7891376278545,5058.053208230401,133.22222222222223,14,2.333333333333333,4,0,0,9
60.0,54,54,120,54,60,56.4,0.0,0.0,1011.4813898184711,54.0,0,0.6666666666666666,0,0,3,8
89.0,60,60,178,252,89,133.66666666666666,96.0,0.0,284397.1631205674,156.0,4,0.5,4,0,0,1
1406.6751918158568,54,54,550010,529,60,1211.446623093682,123.8201410742216,293.26725392281475,213408.01376731804,88.88235294117646,68,5.75,5,0,0,8
54.0,54,60,108,78,54,64.0,9.0,0.0,426.2375874952548,69.0,2,0.5,4,0,2,3
54.15272727272728,54,60,14784,1514,54,1045.7837837837835,198.1565837831769,2.5280862000158826,725928.9202231693,1360.2214532871972,422,0.3196814562002275,871,0,0,6
54.0,54,314,22734,1514,54,929.516452074392,180.8202943253218,0.0,661062.2570523531,1313.2224532224532,668,0.4391480730223123,978,0,0,3
